state,account_length,area_code,phone_number,number_vmail_messages,total_day_minutes,total_day_calls,total_day_charge,total_eve_minutes,total_eve_calls,total_eve_charge,total_night_minutes,total_night_calls,total_night_charge,total_intl_minutes,total_intl_calls,total_intl_charge,number_customer_service_calls,international_plan,voice_mail_plan,outcome
13.0,?,?,3229.0,?,?,104.0,33.22,?,?,17.42,?,95.0,?,14.0,?,?,?,0.0,0.0,0
?,?,?,?,0.0,?,88.0,27.59,213.7,?,18.16,?,81.0,8.64,?,?,?,0.0,?,?,0
24.0,?,?,?,36.0,?,76.0,18.14,?,?,?,?,117.0,8.57,?,?,?,1.0,0.0,?,0
37.0,33.0,415.0,2737.0,29.0,?,99.0,?,117.9,?,?,?,79.0,12.56,13.9,11.0,?,4.0,?,?,1
26.0,?,415.0,?,0.0,162.7,?,27.66,292.0,?,?,?,80.0,8.25,8.7,?,2.35,0.0,?,0.0,0
27.0,?,?,92.0,0.0,?,89.0,17.46,?,100.0,?,188.1,114.0,?,11.0,?,?,0.0,0.0,?,0
?,19.0,?,?,?,156.6,?,26.62,?,97.0,?,260.9,?,?,?,1.0,3.05,?,?,1.0,0
6.0,48.0,415.0,4859.0,?,171.9,?,?,?,127.0,13.52,139.5,?,?,7.6,3.0,2.05,2.0,?,0.0,0
14.0,?,415.0,?,?,221.4,?,37.64,?,?,?,120.6,?,5.43,13.7,4.0,?,?,?,0.0,0
18.0,13.0,415.0,?,?,?,121.0,9.93,?,?,?,159.0,115.0,?,11.9,5.0,3.21,1.0,?,0.0,0
?,60.0,?,?,?,?,108.0,30.5,?,?,22.37,?,78.0,6.0,?,7.0,?,2.0,0.0,0.0,0
?,127.0,?,?,?,182.0,?,?,216.1,?,18.37,?,?,7.06,?,4.0,2.65,1.0,0.0,1.0,0
?,?,510.0,2005.0,?,?,79.0,30.75,194.9,83.0,16.57,?,109.0,8.9,?,?,2.38,3.0,1.0,0.0,0
?,91.0,510.0,3161.0,24.0,93.5,?,?,183.4,128.0,?,240.7,?,?,9.9,3.0,?,?,1.0,?,0
8.0,?,?,?,?,197.0,?,33.49,?,105.0,22.89,158.9,105.0,?,?,?,?,?,0.0,?,0
?,128.0,?,?,0.0,?,91.0,?,182.7,?,15.53,143.2,112.0,?,?,?,3.97,3.0,0.0,0.0,0
37.0,28.0,?,1048.0,?,?,90.0,29.1,173.9,?,?,?,139.0,9.47,14.0,?,3.78,2.0,0.0,?,0
42.0,?,?,1282.0,?,?,85.0,28.07,?,?,?,?,114.0,11.28,?,?,2.94,?,0.0,1.0,0
1.0,98.0,408.0,2877.0,?,161.0,?,?,?,113.0,16.23,?,?,10.25,?,?,?,?,0.0,0.0,0
31.0,?,?,4924.0,?,155.4,?,?,188.5,104.0,16.02,254.9,?,11.47,?,4.0,2.16,3.0,?,?,0
?,125.0,?,3907.0,?,143.6,119.0,?,238.5,119.0,?,173.6,?,?,10.9,?,2.94,?,0.0,0.0,0
5.0,?,415.0,?,?,184.7,60.0,?,?,73.0,?,239.5,?,?,12.3,6.0,3.32,?,?,0.0,1
19.0,34.0,?,?,0.0,?,89.0,?,?,71.0,23.16,178.2,76.0,8.02,?,?,?,2.0,?,0.0,1
?,111.0,415.0,?,0.0,?,125.0,?,?,?,18.79,127.9,101.0,5.76,?,?,?,4.0,?,0.0,1
?,167.0,?,?,?,?,122.0,?,262.5,?,22.31,?,?,9.63,?,?,2.27,0.0,1.0,?,0
37.0,113.0,?,?,?,?,?,27.17,?,93.0,17.86,?,?,7.88,13.1,7.0,?,?,0.0,?,0
45.0,?,408.0,4566.0,?,173.0,?,?,245.8,?,20.89,300.0,?,?,?,?,?,?,?,?,0
?,?,415.0,2667.0,?,?,?,44.4,209.1,?,17.77,?,?,?,11.3,?,?,2.0,?,0.0,1
?,58.0,?,3618.0,?,?,117.0,?,?,103.0,?,?,?,?,9.2,8.0,?,1.0,?,?,0
?,?,?,?,39.0,?,130.0,44.34,?,111.0,18.14,?,97.0,8.8,10.1,?,2.73,1.0,?,1.0,0
?,?,?,?,0.0,310.4,97.0,?,66.5,?,?,?,99.0,?,?,10.0,?,4.0,?,?,0
?,99.0,?,2568.0,?,?,103.0,34.26,?,120.0,?,239.9,56.0,?,11.5,3.0,?,0.0,?,0.0,0
?,?,?,?,31.0,?,70.0,42.4,209.5,59.0,17.81,180.6,75.0,8.13,9.9,?,?,4.0,?,?,0
16.0,92.0,408.0,?,?,?,111.0,?,180.6,126.0,?,221.7,80.0,9.98,10.4,2.0,2.81,?,?,?,1
?,66.0,510.0,4031.0,?,?,?,35.31,?,112.0,16.72,261.7,?,?,6.8,?,?,?,?,?,0
31.0,?,415.0,?,0.0,186.0,?,31.62,?,105.0,20.18,148.1,?,?,12.2,?,3.29,1.0,0.0,0.0,0
?,?,415.0,332.0,?,?,105.0,?,238.3,?,20.26,?,?,10.76,9.6,5.0,2.59,0.0,?,?,0
?,?,415.0,879.0,0.0,303.0,?,51.51,175.6,?,14.93,?,102.0,6.08,10.4,?,?,1.0,0.0,0.0,1
?,?,510.0,535.0,?,?,86.0,40.83,107.6,?,9.15,?,121.0,7.05,7.5,4.0,2.03,1.0,0.0,0.0,0
?,45.0,?,?,?,211.3,?,?,?,97.0,?,265.9,72.0,11.97,?,?,?,?,?,0.0,0
49.0,?,?,?,?,146.8,?,24.96,285.6,?,24.28,?,80.0,?,4.3,?,1.16,1.0,1.0,1.0,1
?,?,510.0,?,?,200.5,117.0,?,?,123.0,19.15,134.0,89.0,?,6.7,?,1.81,?,?,0.0,0
?,?,510.0,?,0.0,257.7,?,43.81,156.5,84.0,13.3,104.4,?,?,9.8,3.0,2.65,1.0,0.0,?,0
30.0,123.0,415.0,3600.0,?,197.6,?,33.59,80.0,86.0,6.8,120.8,?,?,?,?,?,?,?,1.0,0
?,?,?,3867.0,28.0,249.6,?,?,227.2,?,?,?,?,?,?,?,2.05,?,?,1.0,0
31.0,?,415.0,1969.0,0.0,207.9,91.0,?,172.0,?,?,?,?,?,?,?,3.89,4.0,?,?,0
20.0,29.0,510.0,?,?,?,?,?,126.4,74.0,?,?,87.0,?,14.2,?,3.83,?,?,?,0
37.0,53.0,408.0,?,?,?,119.0,?,?,?,21.32,?,?,?,9.8,?,2.65,?,0.0,0.0,1
?,?,?,944.0,17.0,234.9,111.0,?,?,143.0,21.71,194.6,80.0,?,15.4,?,4.16,1.0,0.0,?,0
?,78.0,?,2945.0,?,220.0,?,37.4,?,?,15.29,?,?,?,11.5,5.0,3.11,0.0,0.0,0.0,0
?,?,?,1201.0,22.0,?,107.0,?,238.0,?,?,?,114.0,?,?,?,2.81,1.0,0.0,1.0,0
?,?,?,459.0,0.0,237.3,?,40.34,?,65.0,?,237.0,105.0,10.67,?,?,3.02,1.0,0.0,?,0
20.0,93.0,510.0,2941.0,0.0,?,?,?,219.7,106.0,18.67,155.7,103.0,?,11.1,2.0,?,?,1.0,0.0,1
?,?,?,?,?,172.8,?,29.38,183.1,?,15.56,158.8,104.0,?,?,?,2.13,?,0.0,0.0,1
?,?,415.0,?,?,?,?,27.47,187.5,110.0,?,220.8,?,?,10.3,7.0,?,?,0.0,?,0
?,33.0,415.0,1129.0,0.0,?,111.0,?,?,?,?,237.4,100.0,10.68,?,5.0,2.51,3.0,?,0.0,0
16.0,117.0,415.0,?,0.0,184.8,83.0,31.42,?,?,21.13,133.1,113.0,5.99,9.6,?,2.59,1.0,0.0,0.0,0
22.0,?,?,273.0,0.0,?,106.0,36.09,191.1,?,16.24,?,79.0,10.12,?,8.0,?,3.0,0.0,?,0
30.0,?,408.0,?,0.0,?,99.0,38.08,?,?,?,231.9,?,10.44,?,5.0,?,0.0,?,0.0,0
?,?,415.0,4783.0,0.0,?,?,?,?,101.0,15.21,181.5,?,?,8.9,?,?,?,?,0.0,0
?,138.0,?,3179.0,0.0,196.2,?,33.35,176.5,86.0,15.0,232.4,108.0,?,?,1.0,4.1,?,?,?,1
30.0,115.0,510.0,3787.0,?,?,?,?,223.8,87.0,?,240.3,96.0,?,?,8.0,4.16,3.0,0.0,?,0
17.0,172.0,415.0,?,0.0,172.5,85.0,29.33,?,?,21.51,?,113.0,9.97,5.9,?,?,0.0,0.0,?,0
?,146.0,?,?,0.0,115.6,77.0,19.65,213.6,?,18.16,?,72.0,?,?,6.0,?,1.0,0.0,?,0
22.0,126.0,?,?,?,175.6,?,29.85,151.1,100.0,12.84,201.5,100.0,?,9.9,2.0,?,1.0,?,0.0,0
37.0,89.0,415.0,835.0,?,111.2,101.0,18.9,122.1,94.0,?,?,85.0,?,12.6,?,3.4,3.0,0.0,0.0,0
?,?,?,?,0.0,238.6,117.0,?,242.8,73.0,20.64,203.3,130.0,?,?,8.0,2.7,?,0.0,?,0
?,156.0,415.0,?,0.0,178.8,?,30.4,?,97.0,?,?,?,7.61,7.5,?,?,?,0.0,?,0
?,?,?,2176.0,?,?,?,?,?,?,17.93,?,?,8.7,10.4,6.0,?,2.0,?,?,0
?,52.0,415.0,?,?,165.9,?,28.2,?,?,?,202.1,?,?,8.3,3.0,2.24,?,?,?,0
11.0,78.0,408.0,?,0.0,?,?,?,226.6,?,?,249.2,88.0,?,6.9,?,?,0.0,0.0,0.0,0
?,?,408.0,?,?,278.1,?,?,?,103.0,?,241.5,?,?,?,4.0,3.05,?,?,?,0
?,?,510.0,2723.0,0.0,?,108.0,32.4,152.3,?,?,?,?,6.51,7.5,5.0,2.03,1.0,0.0,0.0,0
21.0,92.0,?,2549.0,?,?,?,22.22,260.6,122.0,?,244.2,98.0,?,9.4,2.0,2.54,?,?,0.0,1
3.0,107.0,415.0,2480.0,32.0,?,?,22.81,?,?,?,167.6,?,?,?,?,?,?,0.0,1.0,0
18.0,?,?,?,?,102.1,74.0,?,?,?,?,?,125.0,10.63,14.0,?,?,?,?,?,0
13.0,134.0,?,945.0,0.0,204.7,108.0,34.8,?,105.0,12.16,?,?,7.46,?,?,2.97,?,?,?,0
?,27.0,?,?,0.0,?,?,?,?,100.0,19.31,?,91.0,6.56,?,3.0,?,2.0,?,0.0,0
19.0,?,?,3121.0,?,166.8,?,?,236.0,117.0,20.06,307.6,?,13.84,?,1.0,2.51,?,0.0,0.0,0
29.0,63.0,510.0,?,?,81.7,105.0,13.89,203.0,66.0,?,181.2,?,?,12.9,3.0,3.48,?,?,?,0
36.0,88.0,?,601.0,0.0,65.4,97.0,?,168.2,?,?,?,113.0,?,?,1.0,3.73,2.0,?,0.0,0
?,?,?,?,?,?,99.0,?,205.4,?,17.46,?,111.0,11.45,?,?,?,0.0,0.0,?,0
11.0,?,408.0,2263.0,?,?,126.0,?,152.9,115.0,13.0,318.3,?,?,?,?,?,1.0,?,0.0,0
36.0,101.0,?,925.0,?,89.7,118.0,?,?,79.0,22.11,?,93.0,?,?,?,3.65,5.0,0.0,0.0,1
?,?,?,?,0.0,?,88.0,?,158.6,129.0,13.48,269.3,118.0,12.12,6.8,3.0,1.84,0.0,?,0.0,0
?,?,?,?,0.0,?,?,21.71,?,?,?,?,?,?,?,?,?,1.0,0.0,?,0
?,51.0,?,?,0.0,229.7,?,?,336.0,?,28.56,192.8,128.0,8.68,?,1.0,2.59,1.0,?,0.0,1
?,?,510.0,?,?,210.1,126.0,?,?,108.0,21.16,?,88.0,?,14.4,?,3.89,4.0,0.0,0.0,0
?,?,?,?,0.0,?,?,?,?,101.0,?,?,83.0,12.84,5.8,?,1.57,2.0,0.0,?,0
11.0,?,?,?,38.0,?,93.0,36.45,211.7,?,17.99,?,?,7.43,?,?,2.7,1.0,0.0,1.0,0
26.0,117.0,?,494.0,0.0,?,134.0,30.7,216.6,?,18.41,?,122.0,4.55,10.6,6.0,2.86,4.0,0.0,0.0,1
17.0,58.0,415.0,?,?,?,?,42.02,303.7,103.0,?,105.4,?,4.74,?,2.0,2.51,?,0.0,0.0,1
26.0,100.0,415.0,730.0,0.0,?,?,?,?,89.0,?,284.5,?,12.8,?,?,?,4.0,?,?,1
?,?,?,223.0,0.0,?,?,?,159.6,63.0,13.57,?,78.0,10.46,?,?,?,0.0,?,?,0
41.0,137.0,?,2363.0,0.0,?,?,?,167.3,89.0,14.22,?,?,?,6.1,4.0,1.65,?,0.0,?,1
?,?,?,?,0.0,275.8,103.0,?,189.5,?,16.11,?,93.0,10.08,?,?,?,2.0,0.0,?,1
13.0,?,?,498.0,30.0,?,102.0,31.25,?,123.0,15.59,?,52.0,10.58,?,?,?,0.0,?,?,0
?,?,415.0,?,?,216.4,?,36.79,249.7,90.0,?,185.9,?,?,?,?,?,?,1.0,1.0,0
?,143.0,408.0,4402.0,?,186.9,?,31.77,196.5,?,16.7,?,?,?,?,3.0,?,?,?,0.0,0
?,127.0,?,1696.0,?,?,91.0,26.49,103.7,?,8.81,117.2,125.0,?,8.6,3.0,?,2.0,?,0.0,0
?,96.0,408.0,4369.0,?,145.8,?,?,?,?,16.34,165.1,?,?,?,2.0,2.67,?,0.0,?,0
?,143.0,415.0,?,0.0,?,?,?,?,136.0,24.45,223.0,100.0,10.04,12.2,4.0,3.29,0.0,0.0,0.0,0
44.0,100.0,408.0,2929.0,?,179.1,?,?,?,132.0,16.71,?,?,8.4,10.2,10.0,2.75,1.0,?,0.0,0
45.0,?,?,1650.0,0.0,?,68.0,23.58,?,102.0,17.48,231.2,108.0,?,?,3.0,3.67,2.0,0.0,0.0,0
2.0,59.0,510.0,?,29.0,?,114.0,22.63,?,?,?,131.6,?,5.92,6.8,?,1.84,1.0,?,?,0
31.0,?,?,536.0,?,?,68.0,?,?,?,13.08,251.2,121.0,11.3,?,?,?,1.0,0.0,?,0
36.0,?,510.0,?,0.0,203.4,?,?,182.9,?,?,?,121.0,9.62,13.8,?,3.73,?,0.0,?,0
?,101.0,?,3288.0,?,114.1,95.0,19.4,?,86.0,?,176.3,90.0,?,?,9.0,3.51,?,0.0,?,0
?,116.0,?,90.0,0.0,?,94.0,?,?,?,12.27,?,65.0,8.99,8.8,?,?,2.0,?,0.0,0
?,?,415.0,?,17.0,?,?,37.32,222.1,?,18.88,188.3,92.0,?,16.1,?,4.35,1.0,?,1.0,0
42.0,39.0,?,1952.0,0.0,187.2,?,?,?,?,9.75,?,83.0,?,13.2,5.0,?,1.0,?,?,0
41.0,?,?,?,?,215.5,?,?,230.9,70.0,19.63,144.1,?,?,13.2,4.0,3.56,0.0,?,0.0,0
?,87.0,?,?,?,?,113.0,36.38,?,114.0,?,134.5,82.0,?,?,?,2.86,0.0,?,?,0
28.0,?,?,1063.0,0.0,?,?,31.82,?,88.0,?,181.8,129.0,8.18,5.1,?,1.38,?,0.0,0.0,0
?,43.0,?,4754.0,?,230.2,?,?,?,?,?,128.4,?,?,9.2,3.0,?,0.0,?,0.0,0
?,96.0,510.0,827.0,18.0,?,86.0,?,133.4,?,?,?,?,?,9.8,?,?,1.0,?,?,0
?,?,415.0,3629.0,0.0,?,123.0,?,?,81.0,?,315.0,?,?,?,5.0,?,?,?,?,0
20.0,58.0,?,?,0.0,187.6,113.0,31.89,?,?,?,?,92.0,6.29,9.8,?,2.65,?,?,0.0,0
?,139.0,415.0,2006.0,0.0,161.5,?,27.46,192.9,137.0,?,?,96.0,?,11.2,13.0,?,?,1.0,0.0,0
?,160.0,510.0,?,33.0,?,100.0,?,203.5,82.0,17.3,218.7,64.0,?,?,?,?,2.0,?,?,0
?,?,415.0,3200.0,?,?,?,21.34,?,96.0,?,251.9,?,?,6.3,?,?,?,1.0,?,1
?,170.0,?,?,?,246.4,?,41.89,228.1,124.0,19.39,166.4,?,7.49,?,?,?,0.0,0.0,0.0,0
47.0,?,408.0,?,0.0,146.7,?,24.94,203.5,78.0,17.3,?,110.0,?,?,?,?,1.0,0.0,?,0
?,60.0,?,602.0,0.0,?,?,?,?,?,16.66,?,110.0,6.83,9.9,9.0,?,?,?,0.0,0
?,132.0,?,4512.0,?,206.2,?,?,?,118.0,17.95,?,?,?,?,6.0,2.75,?,?,?,0
?,?,415.0,3594.0,?,?,?,17.31,?,107.0,?,233.2,150.0,10.49,7.5,?,?,?,0.0,?,0
?,?,415.0,2708.0,0.0,?,118.0,47.52,203.2,?,17.27,?,?,?,10.7,?,?,?,0.0,0.0,1
26.0,42.0,415.0,?,0.0,150.7,?,25.62,246.7,?,20.97,?,?,4.67,7.0,4.0,1.89,?,?,0.0,0
3.0,127.0,415.0,3086.0,?,145.0,106.0,?,?,99.0,?,164.9,?,?,12.7,3.0,?,1.0,?,0.0,0
?,112.0,?,?,0.0,?,34.0,?,?,99.0,?,209.3,?,9.42,12.2,8.0,?,?,?,0.0,0
17.0,96.0,415.0,?,40.0,108.6,90.0,18.46,?,?,17.54,?,?,?,?,?,?,0.0,?,?,0
?,104.0,?,?,?,182.9,?,31.09,239.6,?,?,?,?,10.34,?,?,1.49,?,?,0.0,0
7.0,119.0,408.0,?,?,132.0,?,?,173.3,121.0,14.73,203.5,108.0,?,?,5.0,3.13,?,0.0,1.0,0
30.0,?,510.0,1716.0,25.0,?,?,?,?,?,?,?,107.0,11.13,8.0,?,2.16,1.0,0.0,1.0,0
40.0,101.0,?,102.0,0.0,?,109.0,15.66,?,?,?,?,102.0,?,9.7,?,?,2.0,1.0,?,0
?,140.0,?,297.0,0.0,?,108.0,?,240.4,?,?,216.4,74.0,9.74,7.7,?,2.08,4.0,0.0,?,1
?,?,?,?,0.0,205.9,88.0,35.0,209.3,86.0,?,289.9,?,?,14.5,?,?,2.0,0.0,?,0
?,?,?,4139.0,0.0,200.2,?,34.03,118.7,87.0,10.09,236.6,?,?,6.0,6.0,?,?,?,?,0
?,?,?,3709.0,0.0,?,121.0,?,?,?,?,?,?,?,?,5.0,?,1.0,0.0,?,0
39.0,?,?,1988.0,0.0,?,129.0,?,242.2,?,20.59,233.3,75.0,?,?,5.0,?,0.0,0.0,0.0,0
14.0,124.0,510.0,4146.0,?,133.2,?,?,?,98.0,?,261.0,?,11.75,?,?,?,?,0.0,?,1
1.0,116.0,?,?,0.0,?,?,22.75,?,103.0,15.05,?,?,8.33,?,?,?,2.0,0.0,?,0
?,80.0,415.0,2113.0,0.0,209.9,?,35.68,?,56.0,?,?,?,?,9.0,?,2.43,1.0,?,0.0,0
?,?,?,3582.0,?,233.9,97.0,39.76,?,133.0,?,177.0,?,?,9.5,4.0,?,?,?,?,0
46.0,?,?,565.0,0.0,194.9,108.0,33.13,187.1,?,15.9,?,168.0,7.87,?,?,?,4.0,0.0,?,0
8.0,?,415.0,4650.0,?,195.9,?,?,227.0,?,?,313.2,?,?,?,1.0,?,2.0,?,0.0,0
40.0,104.0,415.0,3320.0,?,109.1,141.0,?,187.1,140.0,?,?,?,?,?,4.0,2.7,?,0.0,0.0,0
5.0,?,?,?,?,131.5,119.0,22.36,?,?,?,155.3,?,?,11.1,7.0,3.0,?,?,0.0,0
34.0,9.0,?,?,31.0,?,130.0,?,?,?,?,?,102.0,8.6,13.3,?,3.59,?,0.0,1.0,0
23.0,?,?,?,?,?,96.0,?,?,?,18.78,179.4,97.0,8.07,11.3,?,?,1.0,?,?,0
?,56.0,?,?,?,225.9,52.0,38.4,?,?,?,?,?,6.5,?,3.0,3.16,?,?,0.0,0
?,127.0,510.0,?,?,223.2,?,?,144.7,119.0,12.3,?,109.0,?,8.6,4.0,2.32,?,0.0,0.0,0
15.0,49.0,415.0,?,?,205.9,?,?,?,105.0,?,142.1,?,?,12.3,3.0,3.32,?,0.0,?,0
4.0,95.0,?,?,0.0,?,?,31.18,?,?,?,?,113.0,4.73,8.2,?,2.21,1.0,0.0,0.0,0
47.0,?,408.0,?,0.0,193.6,?,?,238.2,82.0,20.25,176.4,107.0,7.94,?,?,?,?,0.0,0.0,0
41.0,?,?,2021.0,?,?,113.0,16.12,283.2,?,?,219.3,106.0,?,6.8,?,1.84,?,0.0,0.0,0
36.0,82.0,408.0,?,?,182.3,106.0,30.99,?,?,?,?,?,6.77,10.9,6.0,2.94,1.0,0.0,?,0
30.0,?,?,4063.0,0.0,180.3,?,30.65,208.0,?,?,181.2,101.0,?,12.8,?,3.46,?,0.0,0.0,0
?,?,408.0,?,?,234.5,?,39.87,?,116.0,16.59,268.8,?,?,?,4.0,3.08,?,?,?,0
?,?,?,?,0.0,?,122.0,32.13,?,?,?,186.8,170.0,?,?,6.0,?,0.0,0.0,0.0,0
?,69.0,415.0,2504.0,0.0,227.0,?,?,258.7,?,21.99,?,?,?,8.9,1.0,2.4,?,0.0,0.0,0
?,?,?,1316.0,0.0,?,77.0,?,?,?,17.62,?,?,10.29,5.6,2.0,1.51,1.0,0.0,?,0
0.0,110.0,415.0,3488.0,0.0,?,?,?,?,98.0,?,206.0,?,9.27,6.9,?,1.86,0.0,?,?,0
?,?,?,?,0.0,?,102.0,40.68,?,?,18.99,251.4,104.0,11.31,10.6,?,?,0.0,?,?,0
23.0,100.0,?,22.0,27.0,?,100.0,?,236.1,?,?,?,91.0,8.67,?,?,2.16,0.0,0.0,?,0
50.0,?,415.0,?,32.0,?,?,21.28,?,105.0,15.11,232.4,?,?,?,3.0,?,?,0.0,?,0
?,?,?,757.0,29.0,?,91.0,?,202.8,84.0,17.24,?,81.0,11.08,11.9,?,?,1.0,?,?,0
47.0,65.0,?,?,0.0,183.4,63.0,31.18,183.6,80.0,15.61,?,83.0,?,10.7,?,?,4.0,?,0.0,1
?,82.0,510.0,2822.0,29.0,207.2,?,35.22,?,137.0,21.6,?,?,7.62,9.5,5.0,2.57,2.0,?,1.0,0
?,?,415.0,2587.0,?,166.3,114.0,?,?,?,?,?,?,?,10.4,?,?,2.0,?,0.0,0
10.0,98.0,?,?,0.0,169.9,?,28.88,?,155.0,?,142.6,?,?,?,7.0,2.3,1.0,0.0,?,0
?,?,?,1096.0,0.0,?,?,?,?,91.0,?,255.4,112.0,11.49,10.9,5.0,2.94,1.0,?,?,1
46.0,?,?,?,?,221.4,?,?,276.1,?,23.47,?,?,10.03,10.1,?,2.73,?,?,1.0,0
?,69.0,?,?,0.0,?,94.0,35.63,?,?,16.41,?,90.0,10.8,12.4,4.0,3.35,0.0,?,0.0,0
9.0,95.0,?,3384.0,?,116.4,?,?,?,?,24.11,?,?,12.83,?,?,3.46,?,?,?,0
?,?,408.0,3230.0,?,?,101.0,30.94,?,119.0,?,208.9,131.0,?,13.4,?,?,4.0,?,?,0
